region,estimated_number_of_poor_families_1991,estimated_number_of_poor_families_2006,estimated_number_of_poor_families_2009,estimated_number_of_poor_families_2012
NCR,86388,73353,63974,76530
CAR,83557,66607,66111,65516
Region I,205171,191326,172726,154712
Region II,182360,142518,143847,130965
Region III,221205,206568,232928,240079
Region IV-A,234129,189690,241158,256839
Region IV-B,132082,176282,160226,150486
Region V,395592,361802,385523,375974
Region VI,345102,316669,353431,365040
Region VII,345870,411431,378221,405694
Region VIII,279555,271319,293886,337221
Region IX,156354,260619,280271,259749
Region X,236172,263982,298472,320113
Region XI,187065,229801,252152,268957
Region XII,196284,250168,274043,366169
Caraga,163244,191315,227453,169522
ARMM,104747,205834,212494,271355
